particle_cost,particle_inertia,c1,c2,cost_fn,accuracy,correct_predictions,particles,iterations,objective,architecture,batch_size,seed,session_name,particle_pos,time
0.6956575985152254,0.9670298390136768,0.7793829217937525,0.197685074600253,cross-entropy,0.92,253/275,10,300,max_accuracy,tanh:8;relu:4;sigmoid:2;softmax:2,,,test_seed,"[1.715976672667642, 1.3788609712922053, 1.2909042048773616, 0.8357362709737352, 0.05082210167855868, 1.3377686448844233, 0.47574276545335653, 1.3903589878226361, 0.8191115518565566, 1.6080650235908835, 0.6596177571899451, -0.0302084892600296, 0.9036745275247805, 0.992003610914132, 1.0261857025746688, 0.2337179369621096, 0.6898370145620859, 0.2659179810207302, 0.6899108306338374, 0.8641109386293307, 0.3059795060350833, 0.6332227644877833, 1.0908057295073885, 0.5498532846326637, 1.4710466645068745, 0.757745322178713, 0.5995251435887309, 1.4152304307494958, 0.7416536114177775, 1.524929007313079, 0.9693454413440764, 1.5396978911451615, 0.7573895602557632, 0.6204132241152284, 1.5464678927061126, 0.7312032923317449, 0.7469028367486548, 0.6220308284281645, 1.0796615021659903, 0.5869749810552413, 0.295193653613375, 0.8423282133835885, 0.8841627029095244, 0.771946357360102, 0.6828191463977734, 1.0372403947903537, 0.7877363472116254, 0.3937243110899791, 1.3152400399776414, 0.9478109053477919, 1.1583174729522032, 0.5193290532032807, 1.5198602243019235, 1.3979540844585279, 0.8082331883468021, 1.5290329865497982, 0.8681368647154026, 0.5734672118010196, 0.8504037046182665, 1.150588053355583, -0.0194242801680451, 1.3069094527135265, 0.7111130946443636, 0.9388986921269327, 1.0621709459323745, 0.6078353557810565, 1.3183818249588246, 1.2118509097254253, 0.5801534576797708, 0.2057912681771845, 0.8858293688074392, 1.419340879920311, 0.3420296357360076, 0.9550139714654029, 1.2077488438062778, 0.7956415914558606, 0.4345261356593844, 1.0268182255581415, 1.0712196599696215, 0.8935030071308265, 1.0579462603135208, 0.5575630353110693, 1.4220013074029396, 0.07119454233357933, 0.2292904724277085, 0.2907747418631232, 1.8608097254431972, 0.9253849083847084, 0.5382577204656159, 0.7252661092441024, 0.7514660152621273, 1.8477147262174258]",24/11/2023-02:49:16
0.6942757892934313,0.9670298390136768,0.7793829217937525,0.197685074600253,cross-entropy,0.9563636363636364,263/275,10,300,max_accuracy,tanh:8;relu:4;sigmoid:2;softmax:2,,,test_seed,"[1.2557370441843336, 0.2582023609964103, 0.7517945322390278, 0.06662377822381348, 0.6788827498327994, 0.44418133268909626, 1.0035486033480547, 0.8683283703666769, 1.314479018128106, 1.2446216102578673, 0.7650685988381568, 1.9789024992452187, 0.42673979201390383, 0.5006795768054088, 0.28532783004856876, 0.6594002365696745, 0.09613820055930834, 0.4515815839989752, 0.7102623025025464, -0.2285974408026698, 0.7015540291582957, 1.84924616220499, 0.5004454787608619, 0.6872153730196232, 0.8650128436584874, 0.973565226941458, 0.2901618576062128, 1.4191731483643195, 0.7732014643149303, 0.4835414312807005, 0.8081128999539371, 0.6133852600552012, 0.899176698025112, 0.6098130171968756, 0.9327607705605316, 1.6448949361422025, 0.7289413863371338, 0.5139119760473947, 0.8268815751246923, 1.209566978706222, 0.6596106686521226, 0.9092525411281845, 1.1617160930006032, -0.1275371586263292, 0.6385373485698347, 1.5726053901312793, 0.7085290641990258, 0.407972296236371, 1.6175027523676728, 1.0954892174470623, 0.8694199629895166, 1.8147975010286996, 1.5149831103465101, 0.4225123048249365, 1.260890868877125, 0.044930245493953566, 0.3674560458463568, 0.2766238304645864, 0.31509277438648786, 1.3148028088160644, 1.2989056078876373, 0.9540830907299922, 1.4575690228728615, 0.43466860391682877, 0.39972855256605383, 0.6404386331605372, 0.09008095784953443, 0.45872137374530697, 0.06546086046979052, 0.5131279298178574, 0.28370612548188817, 0.23930188621487453, 0.14995697970715371, 0.7988423378500151, 1.0796305769333865, -0.13090559316587508, 0.21218672273628786, 0.9182624931946205, 0.09892153671701602, 1.1427444699611993, 0.6474836026767706, -0.10509837599663452, -0.09879366730087812, -0.14065303285321795, 1.1058896131002243, 0.5427540434210996, 1.638373180878642, 0.8532803300818076, 0.5725989177489332, 1.3124263015808175, 0.5933046635366106, 1.1191900734323117]",24/11/2023-02:49:23
1.103087948927318,0.9670298390136768,0.7793829217937525,0.197685074600253,cross-entropy,0.9527272727272728,262/275,10,300,max_accuracy,tanh:8;relu:4;sigmoid:2;softmax:2,,1010.0,test_seed,"[-0.29275005096250406, 0.9884613434975913, -3.832835606240074, -5.306952283003054, -0.02267692612132615, -1.6366601032926102, 2.010423058416916, -5.053754091317767, -1.3727479368926632, -3.7829362657985635, -1.8793573052745993, -3.7503666584180935, -2.551295989766527, -0.7651123769225388, 1.0984965504305542, 2.640451850824121, -3.5279415540403334, 0.8427759065686761, 0.8761666498490049, -3.7277145581815465, 0.5578888545470908, -0.5211817934807454, -2.8766104701304607, 0.9576921941318328, -0.7673302726920034, 0.9936976309333071, -1.2613367687402073, -3.6622266233932663, -0.4350964372679645, -3.781897504155552, -2.944813190700878, -1.2501043590672944, -1.3776916031612956, -1.564517045783132, 0.7132133018918614, -2.892703880303414, -3.973015224691621, 0.44185220127559066, -4.315616425383415, 1.0880462015578962, -0.7881914610803828, 1.1932522869943185, -1.7614329421257706, -2.8069672691726164, -1.8213748884797543, -3.8396178177962366, -1.5780805007995926, -4.90067998666373, -1.651200450175343, 0.33202882444466986, -2.1370366878987936, -2.136570606165405, -1.930056505523191, -4.262816063254556, 0.0015013569264199084, -3.282200726453702, -1.8210773472646764, -1.951723626755976, -0.9055404061078948, -5.00859251538017, 0.15323782786648146, 0.09366520207737333, -1.0968703701092049, -2.6487716749559964, -0.7301740670254702, -0.05052867452947826, -2.753372487764953, 1.1331026625090632, 1.5268295067814626, -1.830557101731926, -0.44757866480887903, -1.7774403708321629, -2.1483389218238433, -1.823318300113403, -1.3543828630217494, -1.6241131727858453, 0.6080873698819654, -0.1755292213259012, -3.0972219720171275, -1.260056387720367, 0.3484304353998264, -1.4997308010296844, -0.7867237311291239, 0.0639279012145278, 1.600643976473358, 0.10033946274825205, -3.142021232120143, -3.7526014372398464, -2.440170977704839, 2.1330492851444447, 1.5568480409732914, -4.66900833056394]",24/11/2023-02:49:30
0.6936108551937988,0.9670298390136768,0.7793829217937525,0.197685074600253,cross-entropy,0.8909090909090909,245/275,10,300,max_accuracy,tanh:8;relu:4;sigmoid:2;softmax:2,,42.0,test_seed,"[-0.01868958855724155, 0.22137648914781705, 0.930829912120106, 0.9155521088591084, 0.7504270565620972, 0.523622161050704, 0.8999173722735263, 0.6773915719439865, 1.003986662562673, 0.6522147338540542, 0.11434608595254235, 0.41946823687617296, 0.3921515431414479, 0.6551115237721172, 0.757304668564448, 1.0509184138636314, 1.0070413645096181, 0.261410240285621, 0.6372640590138556, 1.2148357676090709, 0.9317032179430941, 0.05296826278566627, -0.11331786910076597, 0.9379808785547727, 0.046022117134681906, 0.6527187152008499, 0.85940712539877, 0.6273421874194411, 0.7721428196280264, 0.5526620075546299, 0.820311514460302, 0.27628332465995836, 0.0681683947396723, 0.5158619777596712, 0.3536437678186562, 1.4616755693859256, 0.6188422061726289, 0.5040399046836048, 0.545968667087407, 1.0042001507996823, 0.04718642839909623, 0.6394758164208009, 0.23735740851926052, 0.7818837622555618, 1.232072533663482, 0.823477132806535, 0.3945650323600307, 0.9943671383194947, 0.7574178533740639, 0.9095963142699515, 1.021842273919643, 1.3928487731451928, 0.225217854266352, 0.798130989643881, 0.14343522871434594, -0.23877199535183358, 0.9923492264210128, 1.1834707898041628, 0.4580771598902626, 0.9078399812540556, 0.7573803106981531, 0.7086134191267369, 1.2609725482759624, 0.8398424848006463, 1.1771081657523257, 0.14640529930270638, 0.7937627522456353, 0.9726659414222556, 1.3024918634949716, 1.0332140737635083, 0.8083557941531109, 0.8895902803888532, 1.2089152784427186, 0.9479957130330083, 0.352098083388271, 0.5713840070416794, 0.9449079185382465, 1.286025380735036, 0.3745930628477673, 1.0557273793340958, 0.9162189120511959, 0.7312740298248463, 0.567592927797627, 0.6869920730486226, 0.6928610200181706, 0.09324809867548345, 0.7148508689055586, 1.0872629136290144, 1.1437864810960134, 1.1706936751639747, 0.5995426687209949, 1.1735335217758385]",24/11/2023-02:49:36
0.7026178783397802,0.9670298390136768,0.7793829217937525,0.197685074600253,cross-entropy,0.9927272727272727,273/275,10,300,max_accuracy,tanh:8;relu:4;sigmoid:2;softmax:2,,4.0,test_seed,"[-1.4816622075620731, -1.0057224701644236, -1.9199910165941347, -1.1199977472350306, 1.2153270463012735, -1.5974354510247681, -1.2569047836396268, -0.6365233495760366, -2.078338434752017, 1.2005050135028383, 0.4922250818708555, 0.42956206808981434, 0.20738512182341753, 0.2076004874078123, -1.9098357097965886, 0.041944951552126006, -1.2885781562994623, -0.7815294161812036, 0.8586506301408668, -1.1646740898808565, 0.030677623131178822, -0.4912676420286409, -0.21672601618433088, -0.057817161894051644, -0.9503149793792074, -0.7019075304238936, -1.3727569933227803, -0.6162703566569551, -1.7023375974256114, 2.857193963153361, -0.7760651636904683, 1.9458697883618719, 0.04698807538478264, 0.4508613192958674, -1.728588647163802, -1.997122661895327, -0.7639405993788103, -0.8232449616845873, 0.679209023456106, 0.49022341765188554, -1.1417577863957167, -1.6566513290497298, 1.3797091827853736, 0.01580647093833567, -1.669438646402645, -1.6879101399111205, -0.5970299989988116, -2.1804098052196648, -1.4727055584166246, -1.121017505670024, -0.7968779543878137, -1.4414547301620029, 0.29561483754920803, -0.17515189696539568, 0.30654402577215883, -1.094728502454883, 0.6992064550005077, 2.856806622823825, -0.8015393964288321, -0.7787173549014893, 1.46098616506695, 0.34879284706034674, -0.1254079675432616, 1.4324793202552304, -1.6093063536572285, -0.08573126912250593, -0.42595473703716047, 1.4929600049219351, 0.314554916541937, 0.5710878369072345, 1.137245938396881, -0.8390018512285494, -0.13057061281910037, 0.5173230392577608, -1.2379886605860841, -0.46942494839125887, 0.7769396627667668, 0.07323127107413865, 2.205980835571818, 0.06977537059210942, 0.7903184330246222, 0.00852633857765464, 0.2761908729231912, -0.07685839595022574, 0.009428272699297819, -0.12470124956931776, 0.07011329893632146, -0.1066316320433369, -1.4317082900387388, -1.8703329942670355, 1.449192389274913, -0.7743801063897496]",24/11/2023-02:49:43
0.7098400974492571,0.9670298390136768,0.7793829217937525,0.197685074600253,cross-entropy,0.9963636363636363,274/275,10,300,max_accuracy,tanh:8;relu:4;sigmoid:2;softmax:2,,67890.0,test_seed,"[-1.0251198875392689, -1.5984766906406138, -2.0157147283956176, -0.025435471639481413, 0.11048310150470039, 2.644077437158742, -0.7778828960338823, 1.4307196168192593, -0.8584229746036804, 0.17871239326599175, -1.188601449724614, 1.0272493373896614, 1.8894056088614881, -1.8240744704845144, -0.1706682215844933, 0.841500844857518, 0.1609948626213986, 0.10997773740843594, -0.4590632487304383, 0.7157092151188583, -3.392096334883424, -1.0320075980536565, 1.6342686918186826, 0.17421580204624687, -0.6659726623515494, -1.8587211100984573, -0.34854853983171263, 0.4451969589290261, 0.6775071017007156, 0.9322173897252531, -0.8626721456540917, -1.0332754461517673, -0.36658458411078104, -1.719747056695489, -0.5954592944546241, -1.701310220937717, -2.1489566424207567, -2.962475782415078, -0.5326555228670317, -2.0454111377562336, -2.7108083484220864, -0.21958399575446252, 0.652770756703047, 0.3309474279924497, 1.707790829460626, -3.2393393715870795, -1.9492880313310046, -2.2155036550636464, -2.7278340022302663, -1.4818521566273364, 0.8570105238425796, 0.6278041937655863, -2.3056799168641255, -1.3279255275912831, -1.3980411061407718, -1.6845519987972528, 0.8683462833772749, -1.3415623901358529, -0.0289296542503031, 0.49065012374246136, -0.18083996749424006, 2.347456449206129, 0.8928304059288125, -0.007839558530757584, -0.7222768421652199, -1.258119540870371, -1.1500758541257057, 1.401659350490687, 1.2903113686339034, -0.38590526756125687, -0.7340905903014492, -1.3383307546682794, -0.22872182763957263, 3.987650736461852e-05, -0.014789092820955335, -0.3729008859095032, 1.7498021118568903, 0.4251495372438478, 1.7035857855784469, -2.1444823426683786, -2.4235553406505197, 0.5179167803253873, 0.5656841802667172, 1.5477564491384346, 0.24616999622289926, 0.24725467225792425, 0.399820705507816, -1.1611572395899448, -1.6369867748911169, -0.14931198781320773, -1.5285957840849809, -0.8120496711643598]",24/11/2023-02:49:49
0.6932179563148507,0.9670298390136768,0.7793829217937525,0.197685074600253,cross-entropy,0.5490909090909091,151/275,10,10,max_accuracy,tanh:8;relu:4;sigmoid:2;softmax:2,,4,test_n_iterations,"[0.7730313917203299, 1.7815676113073846, 0.7096333652153687, 0.3379306056948761, 1.137551730818282, 0.6355639721103651, 0.8038308592478067, 1.0689476506452142, 0.33346453412026034, 1.372829711887726, 0.6651723752832461, 1.2152741312766502, 1.8776954828332186, 1.2440959221462955, 0.09700423910893542, 1.6192904604342022, 0.9587567015483176, 0.9370536963586342, 0.5773661845578426, 0.6509445849404817, 1.3382986784939446, 0.6949402019116069, 1.229040108444936, 1.5293549240460425, 1.2957401149842256, 1.3688802994519815, 0.2907347262894629, 1.0339074327678435, 1.382842121895234, 1.6500783561061074, 1.447303611231228, 1.5666762544234305, 1.7945017558829273, 0.8039958112413944, 0.7247300291710207, 1.0746518694033897, 0.7612488957145535, 1.0009188326550003, 1.3556222679833643, 1.4426462084386646, 0.9678232469825542, 0.35166239479068606, 1.3311610753782808, 1.152199836591059, 0.19641194105970586, 0.6979188469939057, 0.6677217809993148, 0.5640437073022558, 0.5604421240420543, 1.3059691412110639, 0.5157727608853873, 1.0703064752632636, 1.6394076707571403, 0.782619727364762, 0.7033919343254038, 0.6223214457569036, 0.7952950901758622, 1.6520032103090283, 0.46953942132586957, 0.6066787800076837, 0.7634366289188359, 0.988913243408735, 0.6398598980710146, 1.4697383112985127, 1.4133082457461956, 1.6142356980659684, 0.7046486506609548, 1.257955125437179, 1.1054275553080175, 1.4821293285069266, 1.1669815361884777, 1.2163607671556522, 1.5857650576576936, 0.9625738900590531, 1.1014838509117109, 1.3373057100792207, 0.6260076434315854, 1.057732440235161, 1.0932813931244447, 1.6350223053196493, 1.4475994292369971, 0.6951161366663305, 1.2876619788820123, 0.6310937443401083, 0.3837356857925093, 0.8117397610407215, 0.8380406043833186, 1.111196528366328, 0.7771269371002522, 1.2289023090269537, 0.8971101168208918, 0.5782381719163562]",24/11/2023-02:49:50
0.7110844369749786,0.9670298390136768,0.7793829217937525,0.197685074600253,cross-entropy,0.8654545454545455,238/275,10,20,max_accuracy,tanh:8;relu:4;sigmoid:2;softmax:2,,4,test_n_iterations,"[-2.0300530992065546, -0.8361137055007948, -1.219572853993134, -1.1900218234515845, 0.4441590446995288, -2.403830619982016, -2.295726053828856, -1.890440805978, -1.331923296514872, -0.23992442599201855, -0.25282016170321736, 0.1109424094427714, 0.031386207885394646, -0.3231193775815339, -2.7430417854658273, -0.9283168699877771, -1.411792564149994, -2.522264969330532, 0.8973278859431582, -0.4264276404263556, -0.8788654248609997, 0.22880011590159594, -0.2291587922719971, -0.5638560142223392, -1.7964801359642477, -1.145067075113897, -2.596972608250963, -1.0553533509316027, -1.7048801922664043, 2.0543805566696958, -0.277420051719315, 1.4880609418141881, 0.5015793622120628, 1.0691145479942084, -1.3421254220791328, -2.0824733333566066, -1.7204874466274718, -1.7531243022876577, -0.16819013381885928, 0.43165305544780097, -0.5018775436945822, -1.8031322073025327, 1.2236606791242497, 0.896405704683537, -2.2165667147817287, -1.6707661623857115, -1.5783119109275439, -2.813854085142141, -0.667030183800629, -1.4310175197901345, -1.321045149534352, -1.731019564667773, -1.5027698673535388, -0.015487925987396872, -1.3878246351516421, -1.053542137643237, 0.14044842002919605, 2.53088128470286, -0.2729018420681055, -2.3461153625221574, 0.4158019417650908, 0.7242849265399397, -0.2786567532736213, 1.2960698180026908, -2.0977844993410137, 0.1768097019739939, -0.9649540912506631, 1.1838028243039196, -0.7465630152408657, -0.4244736284791853, 1.3845311221169914, -0.8436580581601771, -1.0234448115134764, 0.6407996512119132, -0.6599666870811463, -0.6487231988885909, 0.33796523932163464, 0.21392996248587529, 0.8558265124370223, -0.9694779940307141, -0.3048451448992474, -1.6242656131967639, 0.2169712821520604, -1.0818113101252842, -1.7430519590240965, -0.04332599536727036, -1.3132626624144077, 0.575552267550478, -1.4152865946689903, -2.624057368698029, 0.7398026798025455, -0.7125685536674266]",24/11/2023-02:49:50
0.8012400194632833,0.9670298390136768,0.7793829217937525,0.197685074600253,cross-entropy,0.9127272727272727,251/275,10,30,max_accuracy,tanh:8;relu:4;sigmoid:2;softmax:2,,4,test_n_iterations,"[-2.5086676401329933, -2.0443316216361094, -1.7764924329652698, -1.044493969628461, 0.7434146103166405, -2.4506003748907843, -2.6312507265432528, -1.9031966248269916, -1.45094156829142, -0.2587140038160668, -0.10929891844661846, 0.5007055415094062, -0.49981416654352906, -0.18175054873792756, -2.64104690556136, -1.4905226565889822, -1.7806355986460805, -2.41611604707949, 1.1824013730288065, -0.4328707570019542, -0.8135280566531036, 0.46479690983968275, -0.5766659767453153, -0.41975427764269874, -2.5922126960363414, -1.221191389270886, -2.5171228037407087, -1.3650666806278406, -2.600469143755573, 2.596209230909311, -1.3574486331634854, 1.7897205628553092, -0.003810482921553948, 1.1588305958721392, -1.810516856834222, -2.870646580180556, -2.5849225233301616, -2.062957555335922, 0.10575990370165617, 0.2779087495643482, -0.9388333730612988, -2.0108688835063653, 1.680534946588695, 0.5244087586681665, -2.0695658293873285, -1.6879951351561358, -1.8621004715722436, -3.471995943844884, -0.4988499284947093, -2.303580727179415, -1.6296923813049171, -2.0625874885600024, -1.8835993184165738, -0.45130445985287504, -0.9027936970164373, -0.9093549969945975, -0.07572491320706465, 2.512786826700658, -0.36646362127342264, -2.67605524721877, 1.2429057708796132, 0.5727195636906164, -0.6502850457046669, 1.2180912402066075, -2.5042361504959167, -0.26331235321549756, -0.9838514136998124, 1.2001898339192756, -0.7150194660559843, -0.1367829294767615, 1.3130089384296721, -1.716557722174364, -1.5864956480477495, 0.4783908133150263, -0.7743441949117049, -0.7616040411092153, 0.9331174902671673, 0.04328156943094097, 1.2319601601540346, -1.4973420545938287, -0.551220803790803, -1.212896192922162, 0.3222796399981746, -0.787256416477861, -1.2380557421250116, 0.19828860482675748, -1.049288709510631, 0.8483531905213002, -2.019197653286223, -3.612948743596386, 1.1310817468566874, -0.6116730629825928]",24/11/2023-02:49:51
0.7075202727336988,0.9670298390136768,0.7793829217937525,0.197685074600253,cross-entropy,0.9818181818181818,270/275,10,100,max_accuracy,tanh:8;relu:4;sigmoid:2;softmax:2,,4,test_n_iterations,"[-1.5378421908174644, -1.0335723494711093, -1.927293055201206, -1.1059255628323559, 1.1971264250448028, -1.6087256751995374, -1.3352016119202326, -0.591323834526459, -2.027863137763415, 1.133964068583483, 0.44230909694533016, 0.4317866773696142, 0.24722391073125952, 0.1800562640335489, -1.877155001868665, -1.3518441185078611e-05, -1.255511360591289, -0.7964133169451173, 0.7546428022472096, -1.1287096021806016, -0.03312283045867595, -0.5072699897326923, -0.27815655259908734, -0.03242666724804358, -1.0163836746580073, -0.7019043958455135, -1.402784652122006, -0.6557374062419509, -1.7184183844602345, 2.8158793489382656, -0.7986730819508895, 1.951219159054414, 0.07762942877480696, 0.4257164716471369, -1.7036282285699016, -1.961225262832639, -0.8308698884517948, -0.7815633809370901, 0.6186373814904548, 0.443750804546618, -1.1468947426155902, -1.6773417697358768, 1.380683011341459, -0.013526661836935294, -1.6395450038422454, -1.6844172389105463, -0.6205871275767162, -2.152465159435345, -1.48829204030425, -1.188173848142885, -0.8781148745002766, -1.3917258289364778, 0.2351140470144902, -0.2347467273291324, 0.23457451157259, -1.0289573414466346, 0.6236050241683615, 2.833704137181047, -0.7959579927432096, -0.8372496174535051, 1.3798338401944419, 0.28928680917043803, -0.20755016405854623, 1.4089192999005717, -1.6231830340906186, -0.11970868834096818, -0.447799239506498, 1.4129312876966902, 0.2938053474686815, 0.590721682153194, 1.0804309124176235, -0.8300265826570614, -0.1045665882126761, 0.5082537943536755, -1.2388769470808914, -0.4482382236990371, 0.7949504694431918, 0.0663095388762883, 2.079981347179679, 0.02284851821908701, 0.8015922669327451, -0.06021959951576886, 0.3159135938308555, -0.13409238814142782, -0.08392546685473315, -0.07955433807584913, 0.10436828498994516, -0.15871300457585827, -1.4673297685285127, -1.8437417005234673, 1.3454607986226863, -0.7686266414168917]",24/11/2023-02:49:53
